State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Total Vaccination Doses,Dose 1,Dose 2,Population
Andaman and Nicobar,10747,0,10618,129,0,98.8,1.2,629054,311893,317161,399001
Andhra Pradesh,2339078,7,2324338,14733,0,99.37,0.63,84147957,40624263,43523694,91702478
Arunachal Pradesh,66891,0,66595,296,0,99.56,0.44,1596166,856732,739434,1711947
Assam,746100,0,738065,8035,0,98.92,1.08,42998698,22535419,20463279,35998752
Bihar,851404,1,839100,12303,0,98.55,1.45,119963226,62590002,57373224,128500364
Chandigarh,99358,3,98174,1181,0,98.81,1.19,2001114,1088086,913028,1158040
Chhattisgarh,1177768,8,1163614,14146,0,98.8,1.2,36927545,18855121,18072424,32199722
Dadra and Nagar Haveli and Daman and Diu,11591,0,11587,4,0,99.97,0.03,1319914,729023,590891,773997
Delhi,2007313,10,1980781,26522,0,98.68,1.32,30710281,16555043,14155238,19301096
Goa,259110,15,255082,4013,0.01,98.45,1.55,2572559,1353009,1219550,1521992
Gujarat,1277615,11,1266561,11043,0,99.13,0.86,98534412,49269034,49265378,70400153
Haryana,1056655,38,1045903,10714,0,98.98,1.01,40581317,21938012,18643305,28900667
Himachal Pradesh,312692,14,308465,4213,0,98.65,1.35,11770370,6028184,5742186,7503010
Jammu and Kashmir,479444,10,474649,4785,0,99,1,20272520,9936338,10336182,14999397
Jharkhand,442574,0,437243,5331,0,98.8,1.2,36992685,21243308,15749377,40100376
Karnataka,4072536,123,4032105,40308,0,99.01,0.99,100209012,49971474,50237538,69599762
Kerala,6829249,1300,6756379,71570,0.02,98.93,1.05,50729256,26999013,23730243,34698876
Ladakh,29417,1,29185,231,0,99.21,0.79,404656,219238,185418,290492
Lakshadweep,11415,0,11363,52,0,99.54,0.46,112378,56831,55547,66001
Madhya Pradesh,1054934,2,1044155,10777,0,98.98,1.02,107931053,54060775,53870278,85002417
Maharashtra,8136945,134,7988392,148419,0,98.17,1.82,155773246,84570317,71202929,124904071
Manipur,139924,0,137775,2149,0,98.46,1.54,2666749,1457120,1209629,3436948
Meghalaya,96786,1,95161,1624,0,98.32,1.68,2348527,1329229,1019298,3772103
Mizoram,238964,0,238238,726,0,99.7,0.3,1440084,783477,656607,1308967
Nagaland,35986,0,35204,782,0,97.83,2.17,1515042,835771,679271,2073074
Odisha,1336595,84,1327306,9205,0.01,99.31,0.69,60803739,31331147,29472592,47099270
Puducherry,175636,73,173588,1975,0.04,98.83,1.12,1620765,903986,716779,1646050
Punjab,784282,29,764964,19289,0,97.54,2.46,41717794,22309609,19408185,30501026
Rajasthan,1315564,5,1305906,9653,0,99.27,0.73,97164120,51029686,46134434,79502477
Sikkim,44321,2,43820,499,0,98.87,1.13,1045753,539208,506545,658019
Tamil Nadu,3594573,58,3556466,38049,0,98.94,1.06,107856629,56110543,51746086,83697770
Tripura,108034,0,107094,940,0,99.13,0.87,4962881,2653391,2309490,4184959
Uttar Pradesh,2128154,18,2104502,23634,0,98.89,1.11,299773777,153669397,146104380,231502578
Uttarakhand,449429,11,441665,7753,0,98.27,1.73,16068172,8164652,7903520,11700099
West Bengal,2118696,50,2097114,21532,0,98.98,1.02,128418265,67232447,61185818,100896618
